t,gx,gy,gz,ax,ay,az
74321900313760,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321901978144,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321903567136,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321905139232,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321906724704,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321908292608,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321909903648,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321911532928,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321913128224,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321914718272,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321916301984,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321917882752,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321919859680,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321922227520,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321924056512,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321925685184,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321927301248,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321928895232,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321930476768,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321932056480,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321933632384,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321935208320,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321936786336,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321938364160,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321939940128,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321941510880,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321943088608,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321944674048,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321946262752,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321947838048,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321949418624,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321950998496,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321952572320,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321954143168,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321955714400,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321957289408,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321958875808,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321960454912,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321962033440,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321963612288,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321965214944,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321966845856,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321968468000,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321970089696,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321971677248,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321973252736,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321974830688,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321976405984,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321978030176,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321979630752,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321981213760,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321982799392,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321984376544,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321985952864,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321987528960,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321989104288,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321990692576,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321992270336,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321993848736,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321995438048,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321997015936,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74321998594272,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322000179392,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322001758336,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322003339168,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322004916128,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322006494464,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322008071200,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322009648352,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322011231936,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322012810272,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322014389312,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322015969152,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322017547552,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322019145376,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322020742368,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322022325472,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322023903616,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322025479616,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322027104352,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322028729568,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322030401376,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322032054688,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322033734944,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322035395104,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322037056544,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322038673824,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322040287040,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322041894624,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322043483360,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322045091328,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322046692256,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322048275872,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322049870144,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
